rep,cell_id,policy,bps_tier,saved_prefill_retention_vs_ideal,delta_ttft_mean_ms_vs_ideal,delta_ttft_p95_ms_vs_ideal,delta_stale_fallback_rate_vs_ideal
0,agg_adaptive@med,agg_adaptive,med,0.9054453980467594,-61.40093934375,-179.28468699999985,0.0
0,exact_fifo@high,exact_fifo,high,0.629772121929565,16.81091226041667,-152.48498699999982,0.0
0,exact_fifo@low,exact_fifo,low,0.9807635395087304,-127.29239932291671,-815.1439359999999,0.0
0,agg_static@high,agg_static,high,0.7432672388280557,-28.517682572916783,-334.93967599999996,0.0
0,local_topk@med,local_topk,med,0.7102693104468778,192.6894271354165,42.653553999999986,0.0
0,local_topk@low,local_topk,low,0.96197099733649,-96.70424495833345,-619.8719980000001,0.0
0,agg_adaptive@low,agg_adaptive,low,0.9807635395087304,-145.84412526041683,-728.2878190000001,0.0
0,agg_static@low,agg_static,low,0.9807635395087304,-81.93968172916675,-656.274915,0.0
0,agg_adaptive@high,agg_adaptive,high,0.8009766203018645,44.49514254166661,-458.7463560000001,0.0
0,exact_fifo@med,exact_fifo,med,0.9243859129920095,84.20786945833333,145.35384000000022,0.0
0,local_topk@high,local_topk,high,0.6345072506658774,153.7134496354165,-172.78099699999984,0.0
0,agg_static@med,agg_static,med,0.9810594850547499,11.13569224999992,170.6540829999999,0.0
1,agg_adaptive@low,agg_adaptive,low,0.973284354650192,108.85140915624993,144.6950469999997,0.0
1,exact_fifo@high,exact_fifo,high,0.7113040574386374,226.0931033229167,332.2986430000001,0.0
1,exact_fifo@med,exact_fifo,med,0.973284354650192,132.72445420833333,157.0650310000001,0.0
1,agg_static@med,agg_static,med,0.973284354650192,150.2548155208333,218.3130510000001,0.0
1,agg_static@high,agg_static,high,0.7059609283686759,383.4786767708333,813.952323,0.0
1,agg_adaptive@med,agg_adaptive,med,0.9841375855735515,19.328439302083325,-230.19406800000024,0.0
1,local_topk@med,local_topk,med,0.8076473534813825,190.20346947916664,30.037972999999965,0.0
1,agg_adaptive@high,agg_adaptive,high,0.7921188846218067,287.55220813541655,355.06412199999977,0.0
1,exact_fifo@low,exact_fifo,low,0.973284354650192,253.64591069791663,678.8108079999997,0.0
1,local_topk@high,local_topk,high,0.6734012355985974,400.0604660312499,872.658555,0.0
1,agg_static@low,agg_static,low,0.973284354650192,333.97347636458335,726.7635259999997,0.0
1,local_topk@low,local_topk,low,0.9305393220904993,180.24159186458314,300.36052500000005,0.0
2,exact_fifo@low,exact_fifo,low,0.9385951995287881,-50.574335270833444,-313.7088640000002,0.0
2,agg_static@med,agg_static,med,0.9385951995287881,-97.69215961458326,-265.0655529999999,0.0
2,agg_static@high,agg_static,high,0.763805036077161,85.94687004166667,284.99753199999986,0.0
2,local_topk@high,local_topk,high,0.6975408629067884,203.0539293958334,188.04319499999974,0.0
2,agg_adaptive@high,agg_adaptive,high,0.7780886467383301,132.52853038541684,5.963668999999754,0.0
2,exact_fifo@med,exact_fifo,med,0.9385951995287881,4.053635541666608,-102.38722200000029,0.0
2,local_topk@low,local_topk,low,0.9337358268296274,-14.585545718749927,-281.4057050000001,0.0
2,local_topk@med,local_topk,med,0.9050213517891327,-14.449637656249934,-253.1563430000001,0.0
2,agg_adaptive@med,agg_adaptive,med,0.9385951995287881,46.1976267604166,-20.816403000000264,0.0
2,agg_static@low,agg_static,low,0.9385951995287881,46.92671668749995,130.18584899999996,0.0
2,agg_adaptive@low,agg_adaptive,low,0.9385951995287881,-14.540314947916613,57.65888899999982,0.0
2,exact_fifo@high,exact_fifo,high,0.777646885583861,117.46190866666643,522.1591949999997,0.0
3,agg_static@high,agg_static,high,0.8727540500736377,-29.60665826041668,-273.66683399999965,0.0
3,exact_fifo@high,exact_fifo,high,0.7357879234167894,168.1337394374998,278.4121060000002,0.0
3,exact_fifo@low,exact_fifo,low,0.9718703976435935,100.0873731666668,20.76873999999998,0.0
3,agg_adaptive@med,agg_adaptive,med,0.9718703976435935,250.6902468229166,507.623466,0.0
3,agg_static@low,agg_static,low,0.9718703976435935,198.73833297916667,692.1779150000002,0.0
3,local_topk@high,local_topk,high,0.730780559646539,186.66644435416652,423.8723570000002,0.0
3,local_topk@low,local_topk,low,0.9247422680412372,51.491050749999886,13.036857999999938,0.0
3,agg_static@med,agg_static,med,0.9718703976435935,253.51075856249986,659.8727520000002,0.0
3,agg_adaptive@high,agg_adaptive,high,0.8539027982326951,198.8884725833334,426.19455500000004,0.0
3,local_topk@med,local_topk,med,0.9150220913107511,162.7374922604165,324.28420300000016,0.0
3,agg_adaptive@low,agg_adaptive,low,0.9718703976435935,268.9058140833333,625.7613330000004,0.0
3,exact_fifo@med,exact_fifo,med,0.9718703976435935,262.62731210416655,539.5389640000003,0.0
