check_name,status,offending_rows,suggested_fix
Sketch index entries <= N*K,PASS,0,cap per-instance advertisements at K
evaluated candidate fanout <= J,PASS,0,truncate ordered candidates before dispatch
same trace hash across policies,PASS,0,reuse generated trace path for all policies in a cell
independent repetition trace bytes,PASS,0,use a distinct deterministic seed for each repetition
numeric columns are numeric in CSV writer,PASS,0,do not serialize numeric values as decorated strings
legacy sheets excluded from primary references,PASS,0,only cite v2 Current datasets
validation-on unsafe reuse is zero,PASS,0,perform owner validation before every reuse
token bucket window bound,PASS,0,retain per-window sent byte logs in a live transport
frozen Exact contains advertised Sketch,PENDING_LIVE,0,evaluated by run_trace_replay_v2.py frozen mode
all staleness injections validate safely,PASS,0,keep validation_on mandatory in serving path
