check_name,status,offending_rows,suggested_fix,source_dataset
Sketch index entries <= N*K,PASS,0,cap per-instance advertisements at K,
evaluated candidate fanout <= J,PASS,0,truncate ordered candidates before dispatch,
same trace hash across policies,PASS,0,reuse generated trace path for all policies in a cell,
independent repetition trace bytes,PASS,0,use a distinct deterministic seed for each repetition,
numeric columns are numeric in CSV writer,PASS,0,do not serialize numeric values as decorated strings,
legacy sheets excluded from primary references,PASS,0,only cite v2 Current datasets,
validation-on unsafe reuse is zero,PASS,0,perform owner validation before every reuse,
token bucket window bound,PASS,0,retain per-window sent byte logs in a live transport,
frozen Exact contains advertised Sketch,PASS,0,fixed-snapshot live replay verifies Exact information upper bound,
all staleness injections validate safely,PASS,0,keep validation_on mandatory in serving path,
frozen Exact upper bound high,PASS,0,inspect snapshot/interface construction,
frozen Sketch_inf equals Exact high,PASS,0,make sketch infinity expose full exact resident set,
frozen Exact upper bound medium,PASS,0,inspect snapshot/interface construction,
frozen Sketch_inf equals Exact medium,PASS,0,make sketch infinity expose full exact resident set,
frozen Exact upper bound low,PASS,0,inspect snapshot/interface construction,
frozen Sketch_inf equals Exact low,PASS,0,make sketch infinity expose full exact resident set,
all policies share same trace hash within locality/rep,PASS,0,generate one trace before scheduling policy cells,
evaluated fanout <= J,PASS,0,truncate candidates before selection,
frozen Exact upper bound high,PASS,0,inspect snapshot/interface construction,
frozen Sketch_inf equals Exact high,PASS,0,make sketch infinity expose full exact resident set,
frozen Exact upper bound medium,PASS,0,inspect snapshot/interface construction,
frozen Sketch_inf equals Exact medium,PASS,0,make sketch infinity expose full exact resident set,
frozen Exact upper bound low,PASS,0,inspect snapshot/interface construction,
frozen Sketch_inf equals Exact low,PASS,0,make sketch infinity expose full exact resident set,
all policies share same trace hash within locality/rep,PASS,0,generate one trace before scheduling policy cells,
evaluated fanout <= J,PASS,0,truncate candidates before selection,
heterogeneous J evaluated fanout <= J,PASS,0,truncate before validation,
heterogeneous J quality is monotone in J,PASS,0,use common candidate realization within each request,
J candidates include nonzero coverage and queue variance,PASS,0,restore heterogeneous candidate generator,
budget rows use independent repetitions,PASS,0,vary rep in event-stream seed,
source file hash recorded,PASS,0,record source SHA-256 in manifest and every cell,
derived trace contains no raw text columns,PASS,0,write only structural/hash fields,
frozen Exact is information upper bound,PASS,0,inspect interface visibility,
evaluated fanout <= J,PASS,0,truncate candidate list before selection,
all policies share trace hash within locality/rep,PASS,0,generate one trace per paired repetition,
no live request errors,PASS,0,inspect vLLM health and retry only after root cause,
per-policy vLLM cache namespace isolation,PASS,0,retain unique namespace per policy/repetition,
policy order randomized within repetition,PASS,0,shuffle policy sequence deterministically from seed,
frozen Exact is incremental-prefill upper bound,PASS,0,inspect visibility or snapshot construction,
all evaluated candidate fanouts obey J,PASS,0,truncate candidates before selection,
no derived output contains raw source text,PASS,0,write structural fields and hashes only,
oracle variants marked UpperBoundOnly,PASS,0,never report oracle as deployable,
each family/rep shares one trace hash across interfaces,PASS,0,generate trace once per replica,
evaluated fanout obeys J,PASS,0,truncate candidate list before selection,
no raw AgentTrace text is emitted,PASS,0,write only structural fields and hashes,
guarded policies never select an unobservable sketch candidate,PASS,0,apply visibility check before guard,
all stochastic cells use independent deterministic seeds,PASS,0,include policy/scenario/rep in seed,
simulation evidence type is explicit,PASS,0,do not merge with live TTFT claims,
same logical request has byte-identical prompt and input token count across policies,PASS,0,remove all policy data from semantic prompt,
same logical request has fixed output token count across policies,PASS,0,keep min_tokens=max_tokens and ignore_eos,
vLLM usage telemetry present for every request,PASS,0,restart vLLM with --enable-prompt-tokens-details,
all output token counts equal requested fixed length,PASS,0,inspect server generation settings,
transient live retries recorded in raw data,PASS,0,inspect prior_attempt_errors if retries are nonzero,
same AgentTrace-derived trace within each SLO paired cell,PASS,0,replay one trace for all interfaces,
SLO replay evaluated fanout obeys J,PASS,0,truncate candidate list before prediction,
saved-prefill accounting is nonnegative,PASS,0,inspect coverage accounting,
validation rejects incompatible and evicted metadata without unsafe reuse,PASS,0,inspect model/tenant/epoch/resident guards,
token-bucket send bytes obey per-window budget plus one-frame burst,PASS,0,inspect token accounting and burst cap,
same logical request has byte-identical prompt and input token count across policies,PASS,0,remove all policy data from semantic prompt,
same logical request has fixed output token count across policies,PASS,0,keep min_tokens=max_tokens and ignore_eos,
vLLM usage telemetry present for every request,PASS,0,restart vLLM with --enable-prompt-tokens-details,
all output token counts equal requested fixed length,PASS,0,inspect server generation settings,
transient live retries recorded in raw data,PASS,1,inspect prior_attempt_errors if retries are nonzero,
same difficult trace hash and policy set within every paired repetition,PASS,0,regenerate one shared trace per repetition before policy replay,
evaluated candidate fanout obeys J for every live request,PASS,0,truncate ranked candidates before owner request,
all invalid advertisements fall back without unsafe reuse,PASS,0,"inspect owner scope, sequence, lease, epoch, and residency guards",vllm_native_validation_v6
pinned runtime blocks reject concurrent eviction and become evictable after cancelled release,PASS,0,inspect BlockPool.touch/free_blocks lifecycle and release-on-cancellation path,vllm_native_validation_v6
valid validations pin then release successfully,PASS,0,inspect EngineCore utility dispatch and live prefix-cache residency,vllm_native_validation_v6
